epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Train hausdorff,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss,Val hausdorff
0,0.01,0.8725263029825202,2.3320592855720603,0.18469833361970878,0.8153016663802913,0.08932397544349018,0.9106760245565099,123.06482075664792,,,,,0.19293344385611513,0.8070665561438849,86.6574831146322
1,0.01,0.6657053878326267,1.906611911139836,0.4066281111220887,0.593371888877911,0.2860723092592288,0.7139276907407712,80.85575221481136,,,,,0.2607466474485894,0.7392533525514106,86.20286041564106
2,0.01,0.5535558264229189,2.0974042028942375,0.5358204640560262,0.4641795359439738,0.38686000576985935,0.6131399942301407,75.77789962601744,,,,,0.35422727558761835,0.6457727244123816,81.7121813780448
3,0.01,0.48087333596338844,2.227161371842411,0.6013041114235949,0.3986958885764055,0.46434172188834205,0.5356582781116579,73.72126805319125,,,,,0.2372587740731736,0.7627412259268264,91.40874008055204
4,0.01,0.42621035235361254,2.3028340089989383,0.6449864880992152,0.355013511900785,0.5263251071226411,0.47367489287735887,72.46231010589685,,,,,0.21709998161531985,0.7829000183846802,96.2935036228727
5,0.01,0.39256760500539717,2.355390140011724,0.6705937826770899,0.32940621732291037,0.5653248199604336,0.4346751800395664,71.82313661702456,,,,,0.518727185515066,0.48127281448493403,75.67744804215313
6,0.01,0.3619639735427521,2.4145369079938486,0.692211815612078,0.3077881843879222,0.6019188497659456,0.3980811502340544,71.08694018762387,,,,,0.5288202506490052,0.4711797493509948,74.75969943074114
7,0.01,0.34522604138241203,2.464699707604854,0.7031284053003314,0.29687159469966845,0.6225376766117126,0.37746232338828745,70.57865521911616,,,,,0.5596933481283486,0.4403066518716514,74.71453787262023
8,0.01,0.33198513178843403,2.502973421718613,0.7129650855180335,0.2870349144819663,0.6380480713949302,0.36195192860506975,70.30496235454562,,,,,0.35213414470975596,0.647865855290244,82.23330684514504
9,0.01,0.32210026306180467,2.5453472293508352,0.7189164433553968,0.2810835566446039,0.6505552806693655,0.3494447193306345,70.12753804711377,,,,,0.48325502205019194,0.516744977949808,75.79909538717688
10,0.01,0.3177547220264913,2.5511826616500533,0.7225463755764873,0.2774536244235134,0.655377893867888,0.344622106132112,69.98820604155874,,,,,0.37601635775839287,0.6239836422416071,82.66994313461942
11,0.01,0.30125242086073245,2.5821092941988155,0.7316887912867919,0.2683112087132084,0.6767867841405572,0.3232132158594428,69.58661322090799,,,,,0.6763626666118702,0.3236373333881299,69.06582510125507
12,0.01,0.30122713344690644,2.5980139816271346,0.7322990321243535,0.26770096787564673,0.6764221021548454,0.3235778978451546,69.51443702475946,,,,,0.6786842358609041,0.32131576413909596,68.90415888049658
