class1,class2,class3,class4,class5,class6,class7
0.05220878870981715,0.047080731137248005,0.09316695078536984,0.12251384467174227,0.1523780793131407,0.06001668752614446,0.06682997534660576
0.039974166335471864,0.04623592884276146,0.07013728080621877,0.1391101711164617,0.14080456088021814,0.055700987667320595,0.1008115492855517
0.06530023330862311,0.04770587931412342,0.1112900751143002,0.15291392739986,0.14369522818478064,0.07052670263512746,0.10741613666837196
0.038824658637184914,0.04226086332949427,0.11466147456170879,0.14109219941495785,0.153075974522939,0.05926226031861642,0.0694793906206295
0.032735925312450224,0.03591656038245017,0.0910326402799136,0.14932466468930353,0.14476025733242448,0.06220376906386811,0.10718264862463009
0.04251963158465254,0.040015698402800136,0.11024114624554619,0.12803477153196846,0.14890337778643292,0.05433552193019706,0.08639914902369826
0.06681172495574815,0.07329419462690392,0.11500653279195189,0.16767069623596187,0.17810366023598415,0.061956108344215215,0.08655325358513348
0.03240722125028145,0.02147494316235004,0.07872744449959977,0.13939964067595245,0.11799757029627587,0.06678148149760452,0.15061008786868532
0.030560162157243026,0.03181599576071353,0.09466345165107758,0.18546796482334596,0.12112004469811838,0.06465423371911994,0.1571080431970362
0.012039658664198817,0.014473542643302303,0.0809816269076571,0.11744829087076847,0.13131888546574244,0.04460799135796322,0.03259392849006337
0.02578448520653512,0.049058245847790664,0.12520404143383912,0.26277836747294864,0.1646633696180588,0.06093043715643205,0.1466890994252686
0.015400627206448332,0.01557782766233516,0.11846252469970621,0.16165374253591436,0.13607642539453255,0.0575201380734596,0.10699032003332243
0.04799839017064579,0.037781943211934794,0.08572758120883314,0.218417391064387,0.19116802465332774,0.05109017534267405,0.10772712109029292
0.0375930964681383,0.024705253057786144,0.09192436255262099,0.24583107716737038,0.14008597933135716,0.04331403798483578,0.07720614697676939
0.042382363139516856,0.042567803095486405,0.12388656775506356,0.3224131417295539,0.1785505792727515,0.059816105059971585,0.16097168335562648
