epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Train hausdorff,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss,Val hausdorff
0,0.01,0.8785596251593378,1.8005078880337209,0.20066563004015958,0.7993343699598405,0.06862357308142888,0.9313764269185711,65.69080037351277,0.8347809625303044,1.681360351972633,0.24810340423794372,0.7518965957620561,0.10996284050976529,0.8900371594902348,52.4200855306546
1,0.01,0.6893142087074494,1.2072927345833628,0.431164569639637,0.5688354303603631,0.2303666385696895,0.7696333614303105,43.37956366796881,0.6274012537361624,0.845966891322796,0.4812791532081639,0.5187208467918359,0.30014515974942374,0.6998548402505762,36.613487852039206
2,0.01,0.465673521530699,0.4981442579200049,0.6529097278716861,0.347090272128314,0.4552709994031422,0.5447290005968578,30.988063190040474,0.5876733594348076,0.3646313521741201,0.514554159539431,0.48544584046056904,0.34417497585801515,0.6558250241419848,31.284598812209918
3,0.01,0.33255438172364105,0.23142641952725937,0.7776429644429272,0.22235703555707284,0.5939807358072765,0.4060192641927235,24.80353379204961,0.35594708545234827,0.21438113078857712,0.7599226272940934,0.24007737270590662,0.566806460128111,0.433193539871889,27.850800389707835
4,0.01,0.2351510887640218,0.15614673297901138,0.8524814720884314,0.14751852791156864,0.7064272165298462,0.2935727834701538,21.889374515800462,0.22025292587536255,0.13506558331877758,0.8667939664271817,0.13320603357281827,0.7217158219393562,0.2782841780606438,21.506073105886657
5,0.01,0.17387052089383745,0.11665219410615785,0.8960451509868381,0.1039548490131621,0.7795190401931307,0.22048095980686927,19.67224666725672,0.17189943951074743,0.10344904237102162,0.8991170474434368,0.10088295255656314,0.7807562456411474,0.2192437543588526,18.58300086220075
6,0.01,0.1441540851574375,0.09724026717750804,0.9157169591782152,0.08428304082178462,0.8159318922170952,0.18406810778290478,18.40782444970223,0.25585193811824886,0.1254676037734494,0.8316535624766664,0.16834643752333348,0.6858110778472003,0.3141889221527997,20.237808969287002
7,0.01,0.12908674408598192,0.08632022566399516,0.9256077781566378,0.07439222184336264,0.8344502475724291,0.16554975242757086,17.541242643683752,0.17044140918464515,0.09009457626082239,0.8968787690033109,0.1031212309966892,0.7846784837105695,0.2153215162894305,17.933450552999478
8,0.01,0.11663955470363035,0.07781771200711754,0.9337055973858893,0.06629440261411072,0.8497970166491039,0.15020298335089613,17.077975587851864,0.1219523312188285,0.07308239027657093,0.9310267015980349,0.06897329840196487,0.8427283202900606,0.15727167970993938,17.943496072260213
9,0.01,0.10290937477154283,0.07012944258537868,0.9422709077801339,0.05772909221986636,0.8669704421242671,0.13302955787573287,16.44036182490907,0.10953368215373419,0.0658540778915269,0.9384656457684913,0.06153435423150871,0.8584667724721572,0.1415332275278428,17.683958579111412
10,0.01,0.09456872080158545,0.06448933481009789,0.9474840578769639,0.05251594212303597,0.8773960987133766,0.12260390128662337,15.93627092191913,0.10205835561509609,0.06263338553296982,0.9438985662433349,0.05610143375666486,0.8673037010080674,0.13269629899193258,17.828295408995487
11,0.01,0.08926431698604403,0.06065523317984141,0.9506975610972093,0.04930243890279058,0.8840944357772371,0.11590556422276284,15.690128210989993,0.09454876689306199,0.056250354299500524,0.9476989703592541,0.052301029640746045,0.8772860800518709,0.1227139199481291,15.990709226955774
12,0.01,0.08247713750703828,0.056708544859318304,0.9547242581607295,0.04527574183927086,0.892721936773898,0.107278063226102,15.368330399210413,0.09362219806353123,0.05635637760632833,0.9496118892579135,0.05038811074208653,0.8775550828260534,0.12244491717394661,17.64933870408685
13,0.01,0.07742104026763415,0.05349942299831785,0.9577685414088057,0.04223145859119459,0.8991192428033743,0.10088075719662566,15.07559688905621,0.10716388175072507,0.06147253090551598,0.941171357903267,0.05882864209673282,0.8606126308441162,0.1393873691558838,18.699396317514957
14,0.01,0.07275814069160551,0.05060249128294445,0.960523724475953,0.039476275524046665,0.905053952736641,0.09494604726335895,14.824675334645127,0.10802084280231215,0.05864358699275587,0.9397271743825302,0.06027282561746958,0.8601471501238206,0.1398528498761794,18.91352210578732
15,0.01,0.06937647651215559,0.04836248593869589,0.9624836112288724,0.037516388771127306,0.9093834686635146,0.09061653133648545,14.717555884407375,0.11824681749971454,0.06344382572569011,0.9328938354500083,0.06710616454999184,0.8476594195646399,0.15234058043536017,19.850468898919996
16,0.01,0.06654191195764522,0.04631792999117409,0.9641645267266649,0.035835473273335534,0.9129871325706368,0.08701286742936319,14.556761911971023,0.10342639163848868,0.05648025850378807,0.9420657960848613,0.05793420391513862,0.8662454871570363,0.13375451284296372,18.31078945527296
17,0.01,0.06463188061404036,0.044777280947564196,0.965297945608368,0.03470205439163205,0.9154149053701713,0.0845850946298286,14.377973748010866,0.08935803073078408,0.051498143188828206,0.9516291996627606,0.048370800337239506,0.8833171514903798,0.11668284850962021,17.81758994267316
18,0.01,0.06260209813441836,0.043129478142239476,0.966517493369107,0.033482506630892986,0.917984844143711,0.08201515585628909,14.162454894372312,0.07493776996519083,0.04502151682644706,0.9599952542782406,0.04000474572175935,0.9017735509311452,0.09822644906885483,16.7600762145505
19,0.01,0.06058788110928786,0.04174459898141625,0.9676605237461282,0.03233947625387162,0.9205798524529186,0.07942014754708134,14.043316775842992,0.06936466448263921,0.04242614447198192,0.9633704335200697,0.03662956647993031,0.9088119408663582,0.09118805913364186,15.83694401282643
20,0.01,0.05816516843452123,0.04034773529251389,0.9690065247539771,0.03099347524602263,0.923720372256948,0.07627962774305201,13.903390786594887,0.06998946918123725,0.040737298537153466,0.9626839783959324,0.037316021604067516,0.9082282360862283,0.09177176391377169,14.877497115118384
21,0.01,0.05592700135458767,0.038976869873051316,0.970329661386671,0.02967033861332877,0.9265685597462441,0.07343144025375593,13.724543057462544,0.08117485171975693,0.045017900354117346,0.9563852660735244,0.043614733926475656,0.8937850734766792,0.10621492652332082,16.970484317541022
22,0.01,0.054963981899427784,0.038042310865420814,0.9709083361609325,0.02909166383906739,0.9277878083399872,0.07221219166001278,13.643666408230713,0.07191774607951729,0.04157422196432544,0.962059985639798,0.037940014360202126,0.9054304361343384,0.09456956386566162,16.120856238974067
23,0.01,0.05289644922073035,0.03678276358764008,0.9721001238308776,0.027899876169122147,0.9304391715063978,0.06956082849360223,13.450603048468093,0.08275767924116594,0.04631667377383957,0.9561889923241923,0.04381100767580787,0.8912778777234694,0.10872212227653055,17.72167851619016
24,0.01,0.051547666535243016,0.03586661458776999,0.9728188360787843,0.027181163921215723,0.9322080007239953,0.06779199927600461,13.315406344737413,0.10133258386316153,0.05200395744801106,0.9446443572046443,0.05535564279535571,0.8680161272778231,0.13198387272217693,17.997452612227455
