epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss
0,0.01,0.868821306662126,0.5443528269728025,0.06027401703018272,0.9397260293816075,0.0398492166581987,0.9601507833418013,0.7981857412001666,0.27986481172197003,0.0851593710043851,0.9148406666867873,0.059308761511655414,0.9406912384883446
1,0.01,0.7915028676842198,0.28938569286555954,0.09497589685700157,0.9050241428794283,0.07095984383627321,0.9290401561637268,0.7526536583900452,0.2187474746914471,0.10226049405686996,0.8977395401281469,0.12547914968693957,0.8745208503130604
2,0.01,0.7416063556165406,0.24570798761013782,0.14231570166620341,0.857684342247067,0.12652247929663368,0.8734775207033663,0.7229510685976814,0.24245579277767854,0.164385545779677,0.8356144848991843,0.14946472118882573,0.8505352788111743
3,0.01,0.701645218964779,0.24175056408752094,0.20503098878896597,0.7949690538825411,0.16173131842956398,0.838268681570436,0.67014080286026,0.21791593029218562,0.2637166415943819,0.7362834109979517,0.16988938959205852,0.8301106104079414
4,0.01,0.6392411625746525,0.2280376201326197,0.31238716660123883,0.6876128794568958,0.2035288012614756,0.7964711987385245,0.6274162460775936,0.1979627863449209,0.31978312748319965,0.6802169154672062,0.2106577241245438,0.7893422758754562
5,0.01,0.6116146273685225,0.21026369014924223,0.34667243334380066,0.6533276095534816,0.2294229112113967,0.7705770887886033,0.6173429874812856,0.19427611372050116,0.32333139023360086,0.6766686579760384,0.2304492689230863,0.7695507310769137
6,0.01,0.5757423106468085,0.18821204645615636,0.37513797933405096,0.6248620558868755,0.2796123106822823,0.7203876893177177,0.6064322415520164,0.19773303498240077,0.3265262351316564,0.6734738244729883,0.2562597503556925,0.7437402496443075
7,0.01,0.5698305377454469,0.18513272454341254,0.3784936120112737,0.6215064308860085,0.28949646493702225,0.7105035350629778,0.5957685428507188,0.18604312311200535,0.34208736261900735,0.6579126855906319,0.26151293691466837,0.7384870630853316
8,0.01,0.5430200962406216,0.17613652574293542,0.4009991412361463,0.5990008955652063,0.32951895079829474,0.6704810492017053,0.5548752791741315,0.16773393662536845,0.37809305594247933,0.6219069852548487,0.3185857880641432,0.6814142119358567
9,0.01,0.5138453737352834,0.17902733904845786,0.45204389637166803,0.5479561496864666,0.35285640891754266,0.6471435910824573,0.5454143233159009,0.18463972035576315,0.4381453035508885,0.5618547393995172,0.2906388316084357,0.7093611683915643
10,0.01,0.48721384234500653,0.18597871234471147,0.5201194814660333,0.4798805659467524,0.3548353465669083,0.6451646534330917,0.5191609210827771,0.18214157311355367,0.4694906569579068,0.5305093965109657,0.323677902274272,0.6763220977257279
11,0.01,0.46050387214530597,0.1817921669871518,0.5434736198548115,0.4565264316219272,0.39616285919240024,0.6038371408075998,0.45554740463986115,0.16666249974685557,0.5345696692957598,0.4654303754077238,0.4098931323079502,0.5901068676920498
12,0.01,0.4363750892155098,0.18734868288491713,0.5795409417513645,0.420459096178864,0.4231957301045909,0.5768042698954091,0.4458073552917032,0.1823026073329589,0.5742526703021106,0.4257473735248341,0.402380306931103,0.5976196930688971
13,0.01,0.39893091492580646,0.1824986690824682,0.6463347086400697,0.3536653301932595,0.44758740044904477,0.5524125995509552,0.4153001501279719,0.1727474025067161,0.619996057713733,0.3800039869897506,0.42812732300337625,0.5718726769966238
14,0.01,0.37424832085768384,0.17354878715493463,0.6803708509965376,0.3196291928038453,0.47078279744495044,0.5292172025550496,0.3930649862569921,0.15925398731932922,0.6350581391769297,0.36494191429194284,0.46190645677201886,0.5380935432279811
15,0.01,0.3551956166823705,0.16905658669543988,0.6945067761522351,0.30549327487295325,0.5020325391581564,0.49796746084184357,0.38224068985265847,0.15886739246985493,0.6500564550652224,0.3499435922678779,0.47377559192040386,0.5262244080795961
16,0.01,0.3598473993214694,0.1759265394824924,0.6756200158234799,0.3243800356532588,0.5127248208631169,0.4872751791368831,0.3747459281893337,0.16260488857241237,0.6372869645847994,0.3627130774890675,0.5071507043698255,0.49284929563017454
17,0.01,0.3178993924097581,0.1688086191813151,0.7039975781332363,0.29600247356927756,0.5856583141016237,0.4143416858983762,0.32985643691876354,0.1581759807818076,0.6820675152189591,0.31793251808951883,0.5723794383161208,0.4276205616838792
18,0.01,0.26915223083712836,0.15736775201829997,0.7413370184826128,0.25866302847862244,0.664466334563313,0.3355336654366869,0.34224193762330446,0.15389249386156306,0.6698187817545498,0.3301812620723949,0.5515226669171277,0.4484773330828723
19,0.01,0.2794656640652454,0.16141632921767957,0.7296473429058538,0.2703527051842574,0.6523967258857958,0.34760327411420416,0.3238113277098712,0.15908844111596837,0.6680306879913106,0.33196936898371754,0.6019852941527086,0.3980147058472914
20,0.01,0.2619707342801672,0.15732505432132518,0.7364360319845604,0.26356402129837964,0.6872997229749506,0.3127002770250494,0.3257882419754477,0.15751569104545257,0.6581587826504427,0.3418412646826576,0.6061285243314856,0.3938714756685145
21,0.01,0.29495329996853165,0.17311755353302666,0.7371197415120674,0.26288030996467127,0.6120558534607743,0.3879441465392257,0.3296727783539716,0.1776303000309888,0.6738899858558879,0.3261100413168178,0.5907432673608556,0.40925673263914447
22,0.01,0.25021469525315543,0.16794471431410674,0.7759378985925154,0.22406214972337088,0.6824977804314006,0.31750221956859936,0.2864140245844336,0.1568564540323089,0.7105600150192485,0.2894400358200073,0.6518332046620986,0.3481667953379014
23,0.01,0.20549640082048648,0.16062234737204784,0.8334641862999309,0.1665358477921197,0.7331060315623428,0.2668939684376572,0.24570073099697337,0.1546797853182344,0.7959875990362728,0.2040124675806831,0.6671005522503572,0.33289944774964275
24,0.01,0.2073853203293049,0.16315113628904024,0.8424519508173971,0.15754809377319884,0.7206603667952798,0.2793396332047202,0.2428048673798056,0.14748109745628693,0.7871668882229749,0.21283316524589763,0.6795615501263562,0.3204384498736438
25,0.01,0.18658506034901648,0.1609055766779365,0.8615406498764501,0.13845939821366107,0.7524495436386629,0.24755045636133713,0.22988786855164697,0.14956381960826762,0.8070151805877686,0.19298486630706227,0.6930471132783329,0.3069528867216671
26,0.01,0.18319729060837717,0.15908817958199617,0.8602426196589614,0.13975743362397858,0.7613083042881705,0.23869169571182944,0.21501400628510645,0.15081659441485123,0.808806556112626,0.19119349516489925,0.7290667803848491,0.2709332196151509
27,0.01,0.2083753344010223,0.16703973800847025,0.8419691414544077,0.15803090957078067,0.7206124509825851,0.2793875490174149,0.26352038365953107,0.17044426150181713,0.7671986450167263,0.23280137163751266,0.6592225467457491,0.3407774532542509
28,0.01,0.18462572449987585,0.16052646946274873,0.8703984618186951,0.12960157904661063,0.7483005117286335,0.25169948827136646,0.22353950931745417,0.15264077396953807,0.8054093806182637,0.19459066759137547,0.7120622922392452,0.2879377077607548
29,0.01,0.155143122442744,0.15288996809359753,0.8940436487848108,0.10595640246615265,0.7945435905095303,0.20545640949046973,0.20186361056916854,0.14890342249589808,0.8295036519274992,0.17049638795502045,0.7402890727800482,0.25971092721995187
30,0.01,0.1680971524029067,0.15791557706666715,0.885071365219174,0.1149286821936116,0.7736435975089218,0.22635640249107825,0.20479509409736185,0.14545475165633595,0.8384062753004187,0.1615937575697899,0.7223334084538853,0.2776665915461147
31,0.01,0.16862505042191708,0.1569768963663867,0.8778924472404249,0.12210759712439595,0.7790334278886969,0.22096657211130316,0.1976251514518962,0.1441934932680691,0.8374503079582664,0.16254973017117558,0.7405836108852836,0.2594163891147165
32,0.01,0.16290982417536504,0.1560608105677547,0.8864784033009501,0.11352165269129204,0.7842775059468818,0.21572249405311816,0.1914383558666005,0.14537709995227702,0.837513688732596,0.16248635772396536,0.7565790186910069,0.24342098130899317
33,0.01,0.19932793554934589,0.16619599520257025,0.8551696195746913,0.14483042185505232,0.7296085872433402,0.2703914127566598,0.23679806993288152,0.15005330653751597,0.7881883330204907,0.21181171825703451,0.6948432098416721,0.30515679015832786
34,0.01,0.15878969713142424,0.1541531090483521,0.8898477599476323,0.11015229627038493,0.7902546136668234,0.20974538633317658,0.20399540487457724,0.14562046089593103,0.8364047969088835,0.16359523639959447,0.726416957729003,0.273583042270997
35,0.01,0.18008865856311537,0.16107613852981364,0.8741704866741643,0.12582956356081096,0.7561459893530066,0.24385401064699347,0.2365905844113406,0.15902667404974208,0.8171340051819297,0.18286602637347052,0.6709029218729805,0.32909707812701955
36,0.01,0.17827454254482733,0.16168809287024266,0.8769296443823612,0.12307041093255534,0.7582281055775556,0.24177189442244443,0.1859278836671044,0.13803897622753591,0.8461136502378127,0.15388637781143188,0.7580861694672528,0.24191383053274715
37,0.01,0.1463091808060805,0.15143759842171814,0.903813384699099,0.09618665729508255,0.806132511659102,0.19386748834089798,0.1985046057140126,0.14401943017454708,0.8378602161126978,0.16213982727597742,0.7378880293930278,0.26211197060697217
38,0.01,0.1454449940585729,0.14930803441640103,0.89903298200983,0.10096706811225775,0.8120086057619615,0.18799139423803848,0.17399931041633382,0.13987159991965575,0.8510624976719127,0.14893755053772645,0.7838750797159532,0.21612492028404684
39,0.01,0.1665760108241529,0.15716639827146675,0.8820526130271681,0.11794743653048169,0.7800906160564134,0.21990938394358664,0.19679813788217657,0.14636222273111343,0.839298805769752,0.16070124550777323,0.7418870277264539,0.2581129722735461
40,0.01,0.16105518128835794,0.15672979921554075,0.8900278400291096,0.10997220049753334,0.7856991525852319,0.2143008474147681,0.18699081811834783,0.145755595582373,0.8483896185370052,0.15161043361705892,0.7570111979456509,0.2429888020543491
41,0.01,0.18205634786775618,0.16270733240878943,0.8697677173397758,0.13023233120188568,0.756445134227926,0.24355486577207391,0.22393213913721197,0.15141966851318583,0.8161369316718158,0.18386311697609284,0.6997426152229309,0.3002573847770691
