epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Train hausdorff,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss,Val hausdorff
0,0.01,0.8661247575248625,1.1404477342892076,0.2030303261432349,0.796969673856765,0.08777189406531828,0.9122281059346817,45.195074315217866,0.9286763588583687,0.9610772487925698,0.11237010283441787,0.8876298971655822,0.04395937489775511,0.9560406251022449,46.18145462244012
1,0.01,0.7121389411931005,0.6829646670493502,0.3844297465515663,0.6155702534484336,0.22348196197439124,0.7765180380256088,39.55247640237838,0.944368906447411,0.7515126279507445,0.09483558108054575,0.9051644189194542,0.029494799530276887,0.9705052004697231,51.637201054255975
2,0.01,0.64733838499544,0.4072697178725399,0.4508599968734124,0.5491400031265875,0.28719605450276975,0.7128039454972303,36.92007765696454,0.9824106329725277,0.42693989049475084,0.037365717715957376,0.9626342822840427,0.004405179513224329,0.9955948204867757,34.23001300814984
3,0.01,0.5961821271001951,0.14796656269686825,0.5037571399527316,0.49624286004726836,0.33719172411494786,0.6628082758850522,31.78072228029943,0.9263524412494426,0.3551918397339836,0.1116107887190157,0.8883892112809841,0.04833876542173899,0.951661234578261,39.42254818700754
4,0.01,0.5381737314648072,0.10893121837611985,0.564890365719802,0.43510963428019805,0.39311689524738874,0.6068831047526112,27.90509622610325,0.7211475228853129,0.15431706408941578,0.3626654162882165,0.6373345837117836,0.22297721871962914,0.7770227812803708,42.63163716656505
5,0.01,0.4902742170214339,0.09505256889874893,0.618768615681894,0.38123138431810594,0.43703058582765086,0.5629694141723491,24.46573325633701,0.6389997915531774,0.10008914741830652,0.4616349345336256,0.5383650654663744,0.29391041741921353,0.7060895825807865,22.97693810197466
6,0.01,0.4762199989167708,0.09058977969264104,0.6300859648356087,0.3699140351643914,0.4529093807494199,0.5470906192505801,23.457685043889736,0.7298396894125742,0.19772601747599644,0.37780355615776595,0.622196443842234,0.1983981877565384,0.8016018122434616,42.65512435457666
7,0.01,0.4222055423477535,0.07855274548999541,0.6815468382235695,0.31845316177643057,0.5086262226104736,0.49137377738952637,20.860765698756328,0.5325414927017633,0.0910859789751643,0.5722654980391401,0.4277345019608599,0.3975871961850386,0.6024128038149613,21.569739390363907
8,0.01,0.4004812745841547,0.07477662807829027,0.7027561702571025,0.2972438297428975,0.5306937821485378,0.4693062178514622,20.026850281753863,0.7447428148381247,0.13287465024465545,0.34110521815334494,0.6588947818466552,0.19802520596064055,0.8019747940393595,19.229403430492805
9,0.01,0.39589382521831573,0.07347763008975565,0.7095959073064718,0.2904040926935283,0.5337797105312347,0.46622028946876526,19.43052876049199,0.9043577008934667,0.18318839210264917,0.14429580524575175,0.8557041947542482,0.06320666521787643,0.9367933347821236,21.282575518560083
