epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss
0,0.01,0.8840995421915343,0.5088964964855801,0.011484117321577452,0.9885159288391923,0.03271534646663702,0.967284653533363,0.8255171495325425,0.31515782720902386,0.062265941763625425,0.9377341025015887,0.03152017074513852,0.9684798292548615
1,0.01,0.8236659575592388,0.34938566793094983,0.08083111310208385,0.9191689283558817,0.034696883480523175,0.9653031165194769,0.7993922864689547,0.301157113383798,0.10790186967043315,0.8920981708694907,0.04419603432282148,0.9558039656771785
2,0.01,0.8032114758636012,0.3299098281246243,0.12047677938685272,0.8795232592207013,0.03644952005847837,0.9635504799415217,0.8079226016998291,0.3029240536339143,0.0858025877353023,0.9141974624465493,0.0458529928480001,0.9541470071519998
3,0.01,0.7851731822346196,0.34032225608825684,0.15960353426635265,0.840396503607432,0.047624705218230236,0.9523752947817697,0.7875240164644578,0.3097207283272463,0.1460707722341313,0.8539292777285856,0.039979640558800274,0.9600203594411997
4,0.01,0.7770890096823374,0.3130872053178874,0.17177741139224081,0.8282226296988401,0.04204373267676794,0.957956267323232,0.7536417701665092,0.2569153948741801,0.19129158841336474,0.808708460891948,0.053061777999734175,0.9469382220002658
5,0.01,0.7790593017231334,0.3175466157721751,0.16707200048999352,0.8329280389077736,0.04405312822200358,0.9559468717779964,0.7598358708269456,0.2724718206069049,0.16566205901258133,0.83433799533283,0.07098428631091819,0.9290157136890818
6,0.01,0.7527330752575037,0.2878390952493205,0.18806543336673218,0.8119346147233789,0.07402150866321543,0.9259784913367846,0.7435559384963092,0.26323062006165,0.18378397164975896,0.8162160656031441,0.08894153125584126,0.9110584687441587
7,0.01,0.7215677752639308,0.2648097511493798,0.21587628442229648,0.7841237666028918,0.11260923032056201,0.887390769679438,0.7304264727760764,0.27009758616195007,0.20301515126929565,0.7969849109649658,0.1059675613308654,0.8940324386691346
8,0.01,0.6950320628556338,0.2602358458168579,0.2622501749658223,0.7377498664639213,0.13028767642875513,0.8697123235712448,0.675055090118857,0.23885328804745393,0.2803027623278253,0.7196972790886375,0.15148622915148735,0.8485137708485126
9,0.01,0.6525004307428995,0.2375247117244836,0.31647967502023233,0.68352036132957,0.17103167803901614,0.8289683219609838,0.662414484164294,0.24155781549565933,0.2884279463221045,0.7115721001344568,0.17631482858868205,0.8236851714113179
10,0.01,0.6259851573091565,0.2341731987667806,0.36257143612160825,0.637428598873543,0.18955232541669498,0.810447674583305,0.6129397749900818,0.2166499889948789,0.3715797987054376,0.6284202337265015,0.20439582011278937,0.7956041798872107
11,0.01,0.5862910295977737,0.22457786130182672,0.41738654695677035,0.5826134988755891,0.22917486704660184,0.7708251329533982,0.5792374961516437,0.20525342927259557,0.40853896912406473,0.5914610729498022,0.24599406692911596,0.754005933070884
12,0.01,0.559778347159877,0.21563625426003427,0.444998149618958,0.5550018910205725,0.26337418005321966,0.7366258199467803,0.5768999141805312,0.20928704300347498,0.4021494756726658,0.5978505751665901,0.26024434364893856,0.7397556563510614
13,0.01,0.5235829691995274,0.20858200978149066,0.47635438270641095,0.5236456683187773,0.3189792852058555,0.6810207147941445,0.5795252007596633,0.22030078488237717,0.3957539511954083,0.6042460816748002,0.2655835094697335,0.7344164905302665
14,0.01,0.5313836688345129,0.21873234347863632,0.475701015103947,0.5242990300510869,0.3052060484434619,0.6947939515565381,0.5268403467010049,0.1953168493859908,0.4694509295856251,0.5305491300190196,0.31110671513220844,0.6888932848677916
15,0.01,0.48784969024585956,0.2097291573882103,0.5346246447527048,0.46537539408062445,0.35061576375455566,0.6493842362454443,0.5013768865781671,0.20243772864341736,0.5080345159067827,0.49196552704362306,0.33974219770992503,0.6602578022900749
16,0.01,0.44917452109582495,0.19858999222968565,0.5805705645770738,0.4194294774171078,0.39578819252324826,0.6042118074767517,0.46950356925235076,0.18910978559185476,0.5484918312114828,0.4515082152450786,0.37230421734206814,0.6276957826579318
17,0.01,0.4225158262433428,0.19466174201983394,0.6082159506552147,0.3917840908874165,0.43282541452032147,0.5671745854796786,0.4410264982896693,0.17860874884268818,0.57649985481711,0.4235001925159903,0.4102383308550891,0.5897616691449109
18,0.01,0.3881812217560681,0.18378074218829474,0.6382821915727673,0.36171785674311896,0.4831551873322689,0.5168448126677311,0.41388506398481484,0.1824653569389792,0.5940547559191199,0.4059452870312859,0.4624653300818275,0.5375346699181724
19,0.01,0.363283785906705,0.18187730511029562,0.6529924174149832,0.34700763180400385,0.5297368394606041,0.4702631605393959,0.38007328615469094,0.16609533437911203,0.6105780601501465,0.3894219977014205,0.5222864676924313,0.47771353230756874
20,0.01,0.353312277432644,0.18107298851916284,0.6604711205670328,0.3395289309097059,0.5467847405057965,0.4532152594942035,0.3834967876181883,0.16710404438130996,0.6255094549235176,0.3744905748788048,0.49930064818438363,0.5006993518156164
21,0.01,0.34845894891204254,0.18590034476735376,0.6817854651899049,0.3182145752238505,0.5400173781496106,0.4599826218503894,0.36628808344111724,0.17588133233435013,0.6678484310122097,0.3321516180739683,0.5043721041258644,0.49562789587413564
22,0.01,0.2882629730033152,0.18047797059019408,0.7709694956288193,0.2290305517839663,0.5986121152386521,0.4013878847613479,0.3111289669485653,0.17006438970565796,0.7358032973373637,0.264196729835342,0.5714065116994521,0.4285934883005479
23,0.01,0.27286788866375433,0.1845369546702414,0.7870507935682932,0.21294925768267026,0.6230480282595663,0.37695197174043366,0.31103162730441375,0.1693549055386992,0.7244746474658742,0.27552538233644824,0.5826237902921789,0.41737620970782113
24,0.01,0.2216072455048561,0.170988486684633,0.8364347165281122,0.16356532603050722,0.6950414632305955,0.30495853676940454,0.26760654239093556,0.169659567229888,0.77099990494111,0.2290001301204457,0.6448135603876675,0.35518643961233254
25,0.01,0.2426375299692154,0.1762426080125751,0.8168268203735352,0.18317321970155745,0.6647007099606774,0.3352992900393226,0.28691691247855916,0.1654901508899296,0.7537820619695327,0.24621797309202306,0.6116707693128025,0.3883292306871975
26,0.01,0.23044222819082666,0.17282047337203316,0.8279043887600754,0.17209564939592825,0.6824003250309916,0.3175996749690085,0.26248228374649496,0.16509070335065618,0.7773886778775383,0.22261137339998693,0.6489510220639846,0.3510489779360154
27,0.01,0.20570498750065314,0.16675275214242213,0.8534199170994036,0.14658013155514543,0.715694046381748,0.2843059536182519,0.2569348216056824,0.1585033356266863,0.7715002754155327,0.22849977410891475,0.6654143947012284,0.33458560529877157
28,0.01,0.20087252196037408,0.16401566948854562,0.854536743778171,0.1454633055537036,0.7252898423960714,0.27471015760392853,0.23800275693921483,0.15312152662697961,0.8005752616068896,0.19942478835582733,0.6809786645805135,0.3190213354194866
29,0.01,0.18927790134242087,0.15960796911156538,0.8619570343783407,0.13804301235711935,0.7446522477901343,0.25534775220986566,0.23630408855045543,0.1570644431254443,0.8015229176072514,0.19847712446661556,0.6862491299124325,0.3137508700875675
30,0.01,0.21583701873367483,0.16825475871111406,0.8372986686952186,0.16270138312018279,0.7072362231485771,0.29276377685142285,0.2547502140788471,0.1598027081174009,0.7829884185510523,0.21701162878204794,0.6600374596960404,0.33996254030395956
31,0.01,0.20013663127566828,0.16658899933099747,0.8558030137510011,0.14419703569376108,0.7271499638304566,0.2728500361695434,0.2245486887062297,0.15489401931271835,0.8177795515340918,0.1822204870336196,0.6982957790879643,0.30170422091203575
32,0.01,0.192005250490073,0.16249474397662914,0.8610700459191294,0.1389299932528626,0.7401642456199183,0.25983575438008166,0.24365894847056446,0.1579381617553094,0.8010650049237644,0.19893503276740804,0.6687567549593308,0.33124324504066915
33,0.01,0.2003198525670803,0.16609535061500288,0.8560979835914843,0.14390206404707648,0.7261501162341146,0.2738498837658853,0.22209424131056843,0.15664831066832824,0.8185407449217403,0.18145928137442646,0.7045478365000557,0.29545216349994435
34,0.01,0.17410923992142532,0.1573899851152391,0.8769622354796438,0.12303781509399414,0.7664597151857434,0.23354028481425662,0.21962249541983886,0.1537086464026395,0.8218095337643343,0.17819052452550216,0.7059886245166554,0.2940113754833446
35,0.01,0.1806097850203514,0.15870357541875404,0.8689838376912203,0.13101621265664246,0.7588435456608281,0.2411564543391719,0.22862699364914613,0.14981348856407053,0.8046727285665625,0.19532733103808234,0.6986665848423453,0.3013334151576547
36,0.01,0.18404544754461807,0.1622825123821244,0.8688083209774711,0.1311917185331836,0.7522193654017015,0.2477806345982985,0.2344931986402063,0.15592279898769715,0.8093905256075018,0.19060953136752634,0.6823379362330717,0.3176620637669283
37,0.01,0.17706277740724158,0.15819091575615335,0.8764334492611162,0.12356658991087567,0.7600051110441034,0.23999488895589655,0.2269336931845721,0.15243513531544628,0.8151562389205483,0.18484380885082133,0.6937271496828865,0.30627285031711354
38,0.01,0.2089142625530561,0.16893770557009813,0.847606071920106,0.15239397481535422,0.7145771781603495,0.28542282183965045,0.2514016444192213,0.16566426745232413,0.7999334124957814,0.20006663878174388,0.6543946739505319,0.3456053260494681
39,0.01,0.1904101466590708,0.1629394440714157,0.8608126288110559,0.1391874219883572,0.7446317844318621,0.2553682155681379,0.20455604616333456,0.14402027997900457,0.8282670764362111,0.17173296300803914,0.7323529895614175,0.26764701043858247
40,0.01,0.15593774120012918,0.1535559083250436,0.8932378093401591,0.10676224100770372,0.7936958489996014,0.2063041510003986,0.19530144246185527,0.1423152185538236,0.8351690208210665,0.16483102212933934,0.7477350322639241,0.25226496773607593
41,0.01,0.16411778353380435,0.1550082957202738,0.885695171175581,0.11430487939805696,0.7815145768902518,0.21848542310974814,0.22202271398376017,0.1524104646900121,0.8170481534565196,0.18295190045062235,0.7041003423578599,0.2958996576421401
42,0.01,0.1729781444777142,0.15973134259834434,0.8791693304524277,0.12083071650880756,0.7682510379588965,0.23174896204110348,0.2507374961586559,0.15993973875747008,0.7932618996676277,0.20673813802354477,0.6598642871660345,0.34013571283396554
43,0.01,0.18360426141457123,0.16267548162828793,0.8679241529016783,0.13207588762496458,0.754402986981652,0.245597013018348,0.20286618611391852,0.14688226668273702,0.8339484053499558,0.16605164242141388,0.7323273315149195,0.2676726684850805
44,0.01,0.1709009919202689,0.1570400075253212,0.8824661482464183,0.11753390390764583,0.7688014344735579,0.2311985655264421,0.21513671033522663,0.15439345249358347,0.8268578508320976,0.17314219343311646,0.7124971537029042,0.2875028462970958
45,0.01,0.17434106767177582,0.16097222697554212,0.874181102622639,0.12581895111185132,0.7704524045640772,0.2295475954359228,0.21735773542348077,0.15139094608671524,0.8195576071739197,0.1804424252580194,0.7127435680697946,0.2872564319302054
46,0.01,0.17291686300075415,0.15849407028519746,0.8815689836487626,0.11843106816663887,0.7653859537659269,0.23461404623407306,0.22216884265927708,0.15507215129978516,0.824579161756179,0.17542086760787404,0.6975348469089059,0.30246515309109406
47,0.01,0.1610416786914522,0.1551229138717507,0.8920481232079592,0.10795192285017534,0.7829091928221963,0.21709080717780374,0.1950610902379541,0.14385735331212773,0.8472509734770831,0.15274906815851436,0.737025029519025,0.26297497048097496
