epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Train hausdorff,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss,Val hausdorff
0,0.01,0.8173983061465272,0.6535889299212838,0.2855471908667055,0.7144528091332946,0.11397140277850051,0.8860285972214995,44.796988950019376,0.9841219113397335,0.3230267560647698,0.033892696491026233,0.9661073035089734,0.0038683915567488815,0.9961316084432511,36.47144317429269
1,0.01,0.71701778616145,0.34095894842475477,0.4043947650422676,0.5956052349577323,0.20204054641146812,0.7979594535885318,34.932991728667,0.8989918851562021,0.46298313864675295,0.16441707832309252,0.8355829216769075,0.058735499397302285,0.9412645006026977,39.906314376122275
2,0.01,0.5811555421267507,0.20920988906004345,0.5490046482144554,0.4509953517855447,0.3320710265828717,0.6679289734171283,31.077619712375533,0.9906314713154953,0.39037065534270465,0.01839557498060363,0.9816044250193965,0.0033505453880374823,0.9966494546119625,36.24048741030456
3,0.01,0.4778656299198462,0.14710673125224039,0.6497133993988026,0.35028660060119715,0.43708170613934916,0.5629182938606508,29.082371979331267,0.6256074907822745,0.24215283895002918,0.494326593559457,0.505673406440543,0.2944364819007042,0.7055635180992957,33.21070866510211
4,0.01,0.4056469728968295,0.11734946033619681,0.7155336006748878,0.28446639932511214,0.5135659983081202,0.4864340016918798,27.3821456915591,0.8335975136926638,0.23627324897375176,0.23881375550036912,0.7611862444996308,0.11812835492384739,0.8818716450761526,32.52393853421974
5,0.01,0.3493553782898828,0.09798995818262785,0.765769016058871,0.23423098394112937,0.5738950429424163,0.4261049570575837,26.002721493752386,0.5147828219351087,0.1244657499222446,0.6091921865516006,0.39080781344839954,0.40256719100169647,0.5974328089983035,25.87681034149946
6,0.01,0.31996667603366874,0.09015078905551663,0.7898388839768528,0.21016111602314722,0.6068296338281324,0.3931703661718676,25.28024029093779,0.5549021440813795,0.13491085900261168,0.5679897678412664,0.4320102321587335,0.3631699398542062,0.6368300601457938,26.827060174665185
7,0.01,0.295766084647105,0.08291519175303302,0.8088603860160917,0.19113961398390844,0.6344829493953336,0.36551705060466644,24.762894524948127,0.3576898570174102,0.09341287897881943,0.7587183759937759,0.24128162400622408,0.5647046749408429,0.43529532505915713,25.175470040027307
8,0.01,0.2768690012796784,0.07752947557970219,0.8237210255795112,0.1762789744204889,0.6560709939848992,0.3439290060151008,24.302667656484733,0.28679879743183523,0.07104955680557802,0.8104275980854962,0.18957240191450367,0.6483836189294473,0.3516163810705527,23.655223803385564
9,0.01,0.27124546265583727,0.07524427017865021,0.8279149527708164,0.17208504722918394,0.6626476080186905,0.33735239198130945,24.304015611307893,0.3003767017853743,0.0702599233273968,0.7981837535836316,0.20181624641636864,0.6339163459264315,0.36608365407356847,23.424138922725994
10,0.01,0.2572339621634214,0.07158703613823356,0.8385931425599416,0.16140685744005817,0.6788813148775409,0.32111868512245917,23.832903732855822,0.300711843571718,0.07116630725218422,0.798992592054009,0.2010074079459909,0.6328185491072826,0.3671814508927174,23.327169957858736
11,0.01,0.25681172692210497,0.07142601296346704,0.8386959328715825,0.16130406712841733,0.6795165123478059,0.3204834876521941,23.831262826403492,0.2901990223871744,0.0725055988802194,0.8071088161164373,0.19289118388356272,0.6449290987772819,0.35507090122271806,23.221835769036584
12,0.01,0.24327814998687047,0.06846909756108911,0.8489634852125096,0.15103651478749036,0.695227438019168,0.304772561980832,23.55881987596439,0.3544417889692783,0.0903594535197024,0.7533461235058768,0.24665387649412315,0.5736996202896802,0.4263003797103197,24.430960708451607
13,0.01,0.25303000685310256,0.07027493695041907,0.841897618803596,0.15810238119640402,0.6836849224182867,0.3163150775817133,23.734411236302044,0.3416578675586428,0.09768522899394882,0.7633040826553756,0.23669591734462417,0.5883675148853889,0.4116324851146111,25.890583063081806
14,0.01,0.23668412139828207,0.06557266464002481,0.8534924990825824,0.1465075009174175,0.7031981422055152,0.29680185779448476,23.285843294783394,0.3199271461221092,0.07816250730463127,0.7841444256007158,0.21585557439928388,0.6106918194355109,0.3893081805644891,23.969672449281227
