class1,class2,class3,class4,class5,class6,class7,class8,class9
0.9895606153608694,0.7453522088537089,0.1450987015816613,0.9001371287502996,0.6757135382929577,0.853877556734277,0.28709718529897554,0.778094282870803,0.7411542088473003
0.9918736253499977,0.6959646214778125,0.7178982864317248,0.8732696897677161,0.6302223591481795,0.7713656427662908,0.4899093499041161,0.8790846137526821,0.18535536649832318
0.9936809424466464,0.7556476685625922,0.3978260878915744,0.8285949424552616,0.816038352662437,0.8523090359660375,0.5165842549493949,0.8506289031839864,0.8075654108985302
0.9933753491843047,0.783338794322027,0.5321273520028021,0.8381834945182896,0.8632518074442939,0.8897109117272444,0.3719689170620874,0.7520884972569337,0.5973206975595944
0.9936094051842344,0.8235927821564789,0.79566026051106,0.8828938802321586,0.7582793377073705,0.748561158453103,0.3731741398620766,0.8061634979399738,0.78615892747264
0.9875285956756011,0.7731501844662346,0.7491419046047162,0.8080248282213817,0.7691856027583251,0.7537204956079021,0.25049960069419486,0.7853468273813714,0.5725611949050998
0.9919986870951092,0.7588814559856065,0.4380952393693986,0.8415109714526685,0.8002849532923605,0.8183659334244039,0.545336437208176,0.933939698930567,0.689329031756497
0.9936687461312612,0.7972392761938769,0.6540766303721144,0.8453502241917183,0.7579754780179047,0.8555962243893958,0.5054733430440537,0.7401200318045823,0.7531312206143916
0.9898364716439157,0.7144380879195098,0.7853482636312884,0.7200084707373013,0.7659303825069308,0.767563284613317,0.4969195977942293,0.7594290642638151,0.569513291965289
0.9937002225090101,0.8028537729631328,0.5771217722580031,0.8384323568251284,0.8496390512461948,0.8651188975992097,0.6181072227984118,0.8679800002061895,0.6767583770704951
0.992171276919967,0.6357745929356228,0.02194358899774939,0.8358420548572564,0.7479530871055803,0.8670868379498505,0.5537442693549463,0.7444257339884304,0.5110956644937601
