CE Loss,Dice Score,Dice Loss,IoU Score,IoU Loss,Total Loss
1.9786248565321336,3.649428972222689e-05,0.9999635057102778,0.0,1.0,0.9999854261259691
1.9890426107890469,0.029657535698098435,0.9703424643019016,0.0019331119256094098,0.9980668880743906,0.9869771627799342
2.021391609445704,0.07898570936318422,0.9210142906368157,0.006001621950417757,0.9939983780495822,0.964804725482479
2.0497553074977626,0.05061070346541634,0.9493892965345838,0.0037527475506067276,0.9962472524493933,0.9775040577900116
1.9846312833436053,0.014173356316030629,0.9858266436839693,0.0009072719840332866,0.9990927280159667,0.993786312094712
1.983763550329708,7.249467060506423e-10,0.9999999992750533,0.0,1.0,1.0000000235518793
1.9833672843574246,7.252850182578831e-10,0.999999999274715,0.0,1.0,1.0000000235517439
1.9827669055968702,0.005834377330954822,0.9941656226690451,0.0006414594827219844,0.999358540517278,0.9972814057181613
2.0103436645720674,0.06382523246060146,0.9361747675393984,0.008416851051151752,0.9915831489488482,0.9694198081197327
2.0166682199291195,0.056273841740620216,0.9437261582593798,0.008566053584218025,0.991433946415782,0.9723508382312727
1.9802063273694694,0.00289975341093956,0.9971002465890605,0.00027032627258449793,0.9997296737274155,0.9986779382390483
1.9790720724553479,7.278139992085718e-10,0.999999999272186,0.0,1.0,1.0000000235507323
1.97915427987047,7.281419134958264e-10,0.9999999992718582,0.0,1.0,1.0000000235506012
1.9832192857538509,0.0219319294130154,0.9780680705869848,0.0018803183920681477,0.9981196816079319,0.9900990553603433
2.002329264640411,0.09223739140596815,0.9077626085940319,0.019874345511198044,0.980125654488802,0.9511804428364166
1.99645879758924,0.06519100868446448,0.9348089913155354,0.02126779966056347,0.9787322003394365,0.9611629811773983
1.9818283201842315,0.033267286809616346,0.9667327131903836,0.011940277181565762,0.9880597228184342,0.9795289288392333
1.9803895830549676,0.0034076763261305276,0.9965923236738694,0.0006064188200980425,0.999393581179902,0.9982731265596967
1.9820014438938867,0.03006365706114861,0.9699363429388514,0.005034212488681078,0.9949657875113189,0.9849540360387607
1.9732085002888073,0.07601685276894492,0.923983147231055,0.018583720549941063,0.9814162794500589,0.9584430418361476
1.9625390548649595,0.09702084320169446,0.9029791567983054,0.033575162291526794,0.9664248377084732,0.9410465683246383
1.964716017598066,0.0864704627620793,0.9135295372379206,0.03770161420106888,0.9622983857989311,0.9427908627658043
1.9363155225995685,0.10120870344424397,0.8987912965557561,0.05195291340351105,0.948047086596489,0.9283448033627504
1.9320268763258355,0.11123888576336696,0.888761114236633,0.052482668310403824,0.9475173316895962,0.9240148588645141
1.9649378775154347,0.07208521229110776,0.9279147877088922,0.028826450929045677,0.9711735490709543,0.9538700419184263
1.9534716592090113,0.09549541041371881,0.9045045895862812,0.04569665342569351,0.9543033465743065,0.9343838422889803
1.8917255870083634,0.11006400752847469,0.8899359924715253,0.07383301854133606,0.9261669814586639,0.9116746395079889
2.0103617360031434,0.05618449269182228,0.9438155073081778,0.014053304679691792,0.9859466953203082,0.9690942556919784
1.871597756573044,0.15647665608860412,0.8435233439113959,0.07988663762807846,0.9201133623719215,0.8894773922406143
1.9272267300075976,0.11650556010677253,0.8834944398932275,0.057908788323402405,0.9420912116765976,0.9186525238248753
2.02473224043973,6.62122723151797e-10,0.9999999993378772,0.0,1.0,1.0000000235770088
2.0247049700838713,6.635418302358729e-10,0.9999999993364582,0.0,1.0,1.0000000235764412
1.983957102772554,0.08144966972896732,0.9185503302710326,0.02390320785343647,0.9760967921465635,0.9530782651383508
1.967275991645457,0.12157952976016527,0.8784204702398348,0.04799980670213699,0.952000193297863,0.9225683204659291
2.0706448603825733,6.434570703885908e-10,0.9999999993565429,0.0,1.0,1.000000023584475
2.0608185132355947,6.464092570430696e-10,0.9999999993535907,0.0,1.0,1.0000000235832942
2.0636828791773416,6.454363275770646e-10,0.9999999993545637,0.0,1.0,1.0000000235836835
2.0812081666691005,6.383107707400126e-10,0.9999999993616893,0.0,1.0,1.0000000235865336
2.087120093407535,0.010878296655158106,0.989121703344842,0.0024344853591173887,0.9975655146408826,0.9941880337549289
2.0358725576419907,0.04918367082479231,0.9508163291752076,0.011423416435718536,0.9885765835642815,0.9734724981999292
1.9616094681558578,0.11440665638121188,0.8855933436187882,0.04387393966317177,0.9561260603368282,0.9279129699243219
1.8881422698858032,0.16021487745265267,0.8397851225473474,0.09246893972158432,0.9075310602784157,0.8804326985970334
1.8606422614082043,0.15814565862649252,0.8418543413735076,0.10421822220087051,0.8957817777991295,0.8742108255806225
1.9170669592038023,0.15027208495076377,0.8497279150492363,0.07311258465051651,0.9268874153494835,0.8960236018183396
2.0054606613336516,0.06125615906277252,0.9387438409372274,0.018513085320591927,0.9814869146794081,0.9643896982210518
2.044417017859517,6.457825730783281e-10,0.9999999993542175,0.0,1.0,1.000000023583545
2.0243398579261003,6.523732698880809e-10,0.9999999993476267,0.0,1.0,1.0000000235809086
2.013314043593462,6.603416793521826e-10,0.9999999993396583,0.0,1.0,1.0000000235777213
2.0144564596931454,9.438421734641968e-06,0.9999905615782653,0.0,1.0,0.999996248473164
2.024901119365365,0.00023965650111245439,0.9997603434988875,3.097740045632236e-05,0.9999690225995437,0.9998855645922431
2.003127297121375,0.018694027926223086,0.9813059720737769,0.00351070798933506,0.9964892920106649,0.9904159845250065
1.9989754726696698,0.03936367424398706,0.9606363257560129,0.007868809625506401,0.9921311903744936,0.9795332702316044
1.9888161281087973,0.08644314525911333,0.9135568547408868,0.025620289146900177,0.9743797108530998,0.9500506086413498
