epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Train hausdorff,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss,Val hausdorff
0,0.01,0.9408992529985489,2.3129317810813497,0.10910608254036666,0.8908939174596338,0.025763895709744907,0.9742361042902551,117.63002402905524,0.9373015495598205,2.2280170340742678,0.1135344999454134,0.8864655000545865,0.02880779653787613,0.9711922034621239,124.26228363521217
1,0.01,0.8304329312773032,2.1436891127065776,0.26627695726972855,0.7337230427302714,0.10509384152564136,0.8949061584743586,137.9215973957632,0.7965808561260295,2.115620789407328,0.32322226267118076,0.6767777373288194,0.12355044909885951,0.8764495509011405,147.49778924178582
2,0.01,0.682207959837647,1.9110737536462428,0.4169061239433452,0.583093876056655,0.25171601582657205,0.7482839841734279,143.936771866051,0.6495563465522232,1.7047228322277408,0.44728405003159144,0.5527159499684087,0.2858834181513105,0.7141165818486895,148.11609187342623
3,0.01,0.5322867124449898,1.520517662724743,0.5511018493661243,0.4488981506338758,0.41212093938480726,0.5878790606151928,127.69496956534375,0.49378267895897493,1.2441994146819169,0.6020996116384089,0.3979003883615913,0.4422958216496876,0.5577041783503124,114.14393212691645
4,0.01,0.3894448365438573,0.9975847410874152,0.6795720475561119,0.32042795244388805,0.5645439223809676,0.43545607761903243,93.15345505497825,0.3816870086470788,0.7778971123264803,0.7115483939804912,0.2884516060195087,0.5561560690402985,0.44384393095970154,91.30517034062068
5,0.01,0.3017117290241766,0.6419772702319587,0.7670524266187053,0.2329475733812948,0.6524455146356063,0.34755448536439376,86.29146245620828,0.29948648544490875,0.549707592268646,0.7758879871723773,0.22411201282762283,0.6502638842378344,0.3497361157621656,91.03903066049101
6,0.01,0.2650032485214109,0.4986334841564073,0.7998065582378439,0.20019344176215612,0.6917902242053638,0.3082097757946361,77.7136806131649,0.2809404776278622,0.4513151993938208,0.7904004362195584,0.2095995637804416,0.6714989244937897,0.3285010755062103,81.07700425821338
7,0.01,0.24366186663093461,0.4236357759744319,0.81657812349181,0.18342187650818997,0.7161781516942111,0.2838218483057889,63.83690430045628,0.31562307814845403,0.4348756337558241,0.7767662172494095,0.22323378275059064,0.6227840738637107,0.37721592613628935,66.33392512902297
8,0.01,0.23167620545386372,0.37304637562856724,0.825727185734858,0.17427281426514205,0.730054877021096,0.26994512297890405,47.74250467749311,0.25224033669155554,0.34965888552958274,0.8129221043819047,0.18707789561809526,0.7043180508272988,0.29568194917270113,49.41814551312569
9,0.01,0.2187038814567571,0.3333208440114396,0.8343372900157832,0.16566270998421695,0.7459353479472074,0.25406465205279266,37.522071762720564,0.2413647710828392,0.31441204198557965,0.8187347864523228,0.18126521354767738,0.7185688699994769,0.28143113000052317,36.85321168598186
