CE Loss,Dice Score,Dice Loss,IoU Score,IoU Loss,Total Loss
2.1038792264283352,0.059330801678541586,0.9406691983214582,0.004712605848908424,0.9952873941510916,0.9734401780315862
1.9713153412752338,0.09009786904624621,0.9099021309537537,0.003497807076200843,0.9965021929237992,0.9618621966808178
1.8618269574162412,0.07901611866400204,0.9209838813359978,0.004954296629875898,0.9950457033701241,0.9654210331366635
1.6734627333086078,0.09986512360820503,0.9001348763917949,0.005780965089797974,0.994219034910202,0.9565854013051616
1.467057932094035,0.09606100966503157,0.9039389903349684,0.0013436200097203255,0.9986563799902797,0.9607694671552581
1.256841524112966,0.1427307157822906,0.8572692842177094,0.0057752407155931,0.9942247592844069,0.9394426215049243
1.1266689025774674,0.12734536457704745,0.8726546354229525,0.010485280305147171,0.9895147196948528,0.942770726964286
0.9614784416955853,0.1658390835787117,0.8341609164212883,0.019794631749391556,0.9802053682506084,0.9217876284970736
0.9075688826707635,0.15960605317952103,0.8403939468204789,0.021854933351278305,0.9781450666487217,0.9230446403241084
0.7991554636560881,0.1148341605935567,0.8851658394064432,0.0054102931171655655,0.9945897068828344,0.9508201714406779
0.7574679911126221,0.15970423991773872,0.8402957600822614,0.011661327444016933,0.9883386725559831,0.9291215174385137
0.7658406915666279,0.14382920079810999,0.8561707992018899,0.016965197399258614,0.9830348026007414,0.932289241101807
0.8391035736574276,0.19984996837003824,0.8001500316299617,0.02576225809752941,0.9742377419024706,0.9046027043595958
0.8360557864438045,0.1540260824484552,0.8459739175515448,0.013501877896487713,0.9864981221035123,0.9302884851724734
0.8042632515387165,0.12332855600124612,0.8766714439987537,0.018010549247264862,0.9819894507527351,0.9398622793435811
0.7681220039190146,0.17161801252937756,0.8283819874706225,0.025165190920233727,0.9748348090797663,0.9162537106109603
0.7313089170033452,0.18832214808804795,0.8116778519119522,0.054096102714538574,0.9459038972854614,0.8922135148988446
0.7511388531570562,0.15959306416644733,0.8404069358335526,0.03194296732544899,0.968057032674551,0.9169970438570416
0.6403983307806274,0.15824373900253244,0.8417562609974675,0.025544675067067146,0.9744553249329329,0.9213757302786563
0.6322538621862509,0.18508983998952946,0.8149101600104705,0.04321650415658951,0.9567834958434105,0.9000341600201184
0.5897118774983263,0.1931442178818618,0.8068557821181381,0.035853978246450424,0.9641460217535496,0.9012299475060688
0.4758990713485905,0.22165084213054567,0.7783491578694544,0.057822782546281815,0.9421772174537182,0.8766460286377415
0.4404035846179431,0.21753539165648864,0.7824646083435113,0.05428191274404526,0.9457180872559547,0.8804167567857383
0.39116968266522056,0.2171374519620041,0.782862548037996,0.05477713793516159,0.9452228620648384,0.8802787439046821
0.5060102338021555,0.26144189227577996,0.7385581077242198,0.10148201137781143,0.8985179886221886,0.834534022851956
0.5150449391984742,0.26670452452315113,0.7332954754768487,0.08184104412794113,0.9181589558720589,0.8442135830854844
0.5583135964032198,0.22488236382074173,0.7751176361792582,0.05997523292899132,0.9400247670710087,0.8740619661233147
0.48045394797605906,0.18271670073040153,0.8172832992695984,0.043100614100694656,0.9568993858993053,0.9010529743442224
