epoch,lr,Train loss,Train ce loss,Train dice score,Train dice loss,Train iou score,Train iou loss,Val loss,Val ce loss,Val dice score,Val dice loss,Val iou score,Val iou loss
0,0.01,0.7554079542284958,0.34551524739790285,0.35236274892445585,0.6476372510755443,0.1727449441018204,0.8272550558981796,0.6781233749773439,0.21844783067453696,0.4360543339059339,0.5639456660940659,0.24575818330049515,0.7542418166995049
1,0.01,0.614037190139187,0.2053367095112871,0.5079130952311248,0.49208690476887534,0.3046626483400663,0.6953373516599337,0.6892168654901042,0.2001768402009811,0.4206773849003449,0.5793226150996551,0.23752032858984812,0.7624796714101519
2,0.01,0.5372050553761587,0.1710588646260133,0.588393853306108,0.41160614669389195,0.37906236611306665,0.6209376338869333,0.7194654689678749,0.46784576214970197,0.38486175256313276,0.6151382474368672,0.2109830603003502,0.7890169396996498
3,0.01,0.4819264825755888,0.14534537395949482,0.6427759598755508,0.3572240401244493,0.4349385781834523,0.5650614218165477,0.4996505330881356,0.1149686885406407,0.6126951771773699,0.38730482282263007,0.42545235795634134,0.5745476420436587
4,0.01,0.41851975008357223,0.12167019386824515,0.7023189810537133,0.2976810189462864,0.5009211175143718,0.49907888248562815,0.43706537002442475,0.11920500165425639,0.6864334263303895,0.3135665736696103,0.48060212816510883,0.5193978718348912
5,0.01,0.4003956879608932,0.11735096531920731,0.7200893994586907,0.27991060054130934,0.5192809397975604,0.48071906020243965,0.4428307743500021,0.10470443005670826,0.6684105828612887,0.3315894171387112,0.48300833787236896,0.516991662127631
6,0.01,0.3687281780776498,0.10454853572228111,0.7458471197418576,0.25415288025814226,0.5548883073031903,0.4451116926968098,0.6772804108958967,0.16950734200690204,0.4174841584225956,0.5825158415774043,0.2595432230404445,0.7404567769595555
7,0.01,0.3536269392455326,0.10095470119990232,0.7601385679382313,0.2398614320617685,0.5705294067660968,0.42947059323390324,0.6335991268646471,0.33562261386344244,0.4821558868941002,0.5178441131058997,0.2892309022801263,0.7107690977198737
8,0.01,0.35674690578196055,0.10082233720209598,0.7572034802582464,0.24279651974175356,0.5672861864169438,0.4327138135830561,0.5585796648765967,0.30303120357424645,0.5695673815715326,0.43043261842846736,0.35598899849823545,0.6440110015017646
9,0.01,0.3487105190246426,0.09925784457972352,0.7647909954838155,0.23520900451618484,0.5756218199928601,0.42437818000713984,0.5019091398270231,0.17407038620683174,0.6291049706347245,0.37089502936527535,0.4107481390237808,0.5892518609762192
10,0.01,0.32863509733069934,0.09108239051955105,0.780142965637421,0.21985703436257917,0.5988462120294571,0.4011537879705429,0.5009184878932713,0.11456312903861907,0.6103646991837965,0.3896353008162034,0.42489273633275715,0.5751072636672429
